,Date,Time,Day,Station,Delay Code,Min Delay,Min Gap,Direction,Line,Vehicle,Latitude,Longitude,Incident,Rush Hour Index,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
0,2024-01-01,02:30:00,Monday,DAVISVILLE STATION,MUI,13.0,19.0,N,YU,6051.0,43.69806,-79.39722,Injured or ill Customer (On Train) - Transported,0,-2.6,0.0,0.4,0.2,2.0,31.0
1,2024-01-01,02:36:00,Monday,FINCH STATION,MUI,24.0,30.0,S,YU,5931.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,0,-2.6,0.0,0.4,0.2,2.0,31.0
2,2024-01-02,13:46:00,Tuesday,EGLINTON STATION,MUI,3.0,8.0,N,YU,5576.0,43.70522,-79.39844,Injured or ill Customer (On Train) - Transported,0,-1.0,0.0,0.0,0.0,,40.0
3,2024-01-04,14:20:00,Thursday,YORK MILLS STATION,MUI,17.0,22.0,S,YU,5581.0,43.74462,-79.40684,Injured or ill Customer (On Train) - Transported,0,-2.7,0.0,0.0,0.0,,53.0
4,2024-01-05,19:34:00,Friday,ST GEORGE BD STATION,MUI,13.0,18.0,W,BD,5130.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,-1.8,0.0,0.0,0.0,,35.0
5,2024-01-07,15:40:00,Sunday,KENNEDY BD STATION,MUI,4.0,8.0,W,BD,5315.0,43.73228,-79.26554,Injured or ill Customer (On Train) - Transported,1,-2.7,0.0,0.4,0.4,4.0,
6,2024-01-08,17:54:00,Monday,KIPLING STATION,MUI,6.0,9.0,E,BD,5334.0,43.63795,-79.53535,Injured or ill Customer (On Train) - Transported,1,1.3,0.0,0.0,0.0,3.0,
7,2024-01-12,07:40:00,Friday,DUPONT STATION,MUI,5.0,8.0,S,YU,5561.0,43.67411,-79.40634,Injured or ill Customer (On Train) - Transported,1,1.8,9.9,5.2,15.1,5.0,66.0
8,2024-01-13,11:12:00,Saturday,BATHURST STATION,MUI,18.0,23.0,W,BD,5077.0,43.66638,-79.41164,Injured or ill Customer (On Train) - Transported,0,0.6,4.5,0.8,5.3,3.0,74.0
9,2024-01-18,16:44:00,Thursday,WOODBINE STATION,MUI,10.0,13.0,E,BD,5106.0,43.68584,-79.31512,Injured or ill Customer (On Train) - Transported,1,-6.2,0.0,0.6,0.6,3.0,32.0
10,2024-01-19,18:04:00,Friday,FINCH STATION,MUI,3.0,6.0,S,YU,5796.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,1,-11.0,0.0,0.0,0.0,3.0,39.0
11,2024-01-19,01:16:00,Friday,KENNEDY BD STATION,MUI,5.0,10.0,W,BD,5287.0,43.73228,-79.26554,Injured or ill Customer (On Train) - Transported,0,-11.0,0.0,0.0,0.0,3.0,39.0
12,2024-01-20,22:07:00,Saturday,BLOOR STATION,MUI,13.0,19.0,S,YU,5601.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
13,2024-01-20,23:21:00,Saturday,KING STATION,MUI,8.0,14.0,S,YU,5971.0,43.64981,-79.37734,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
14,2024-01-20,00:09:00,Saturday,ST GEORGE YUS STATION,MUI,7.0,14.0,N,YU,6126.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
15,2024-01-20,22:50:00,Saturday,DON MILLS STATION,MUI,7.0,14.0,W,SHP,6151.0,43.77556,-79.34655,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
16,2024-01-24,07:20:00,Wednesday,KIPLING STATION,MUI,3.0,6.0,E,BD,5160.0,43.63795,-79.53535,Injured or ill Customer (On Train) - Transported,1,1.1,8.2,0.0,8.2,3.0,
17,2024-01-24,19:29:00,Wednesday,DAVISVILLE STATION,MUI,7.0,12.0,N,YU,5631.0,43.69806,-79.39722,Injured or ill Customer (On Train) - Transported,0,1.1,8.2,0.0,8.2,3.0,
18,2024-01-25,09:12:00,Thursday,DUPONT STATION,MUI,38.0,41.0,N,YU,5391.0,43.67411,-79.40634,Injured or ill Customer (On Train) - Transported,1,2.3,0.2,0.0,0.2,1.0,
19,2024-01-25,11:47:00,Thursday,VAUGHAN MC STATION,MUI,5.0,10.0,S,YU,5741.0,43.7942,-79.5322,Injured or ill Customer (On Train) - Transported,0,2.3,0.2,0.0,0.2,1.0,
20,2024-01-25,21:36:00,Thursday,BLOOR STATION,MUI,27.0,32.0,N,YU,5776.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,0,2.3,0.2,0.0,0.2,1.0,
21,2024-01-26,06:37:00,Friday,BLOOR STATION,MUI,5.0,8.0,S,YU,5676.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,1,2.7,21.8,0.0,21.8,,45.0
22,2024-01-26,08:26:00,Friday,LAWRENCE WEST STATION,MUI,16.0,19.0,N,YU,5496.0,43.7136,-79.4444,Injured or ill Customer (On Train) - Transported,1,2.7,21.8,0.0,21.8,,45.0
23,2024-01-27,20:39:00,Saturday,VAUGHAN MC STATION,MUI,7.0,14.0,S,YU,5611.0,43.7942,-79.5322,Injured or ill Customer (On Train) - Transported,0,2.0,0.0,0.0,0.0,,
24,2024-01-29,14:38:00,Monday,KENNEDY BD STATION,MUI,4.0,8.0,W,BD,5182.0,43.73228,-79.26554,Injured or ill Customer (On Train) - Transported,0,1.0,0.0,0.0,0.0,,36.0
25,2024-01-30,18:20:00,Tuesday,KIPLING STATION,MUI,3.0,6.0,E,BD,5201.0,43.63795,-79.53535,Injured or ill Customer (On Train) - Transported,1,0.9,0.0,0.0,0.0,,33.0
26,2024-01-30,23:05:00,Tuesday,DOWNSVIEW PARK STATION,MUI,59.0,64.0,S,YU,5501.0,43.7545,-79.477,Injured or ill Customer (On Train) - Transported,0,0.9,0.0,0.0,0.0,,33.0
27,2024-01-31,12:46:00,Wednesday,QUEEN'S PARK STATION,MUI,8.0,13.0,N,YU,5781.0,43.65977,-79.39018,Injured or ill Customer (On Train) - Transported,0,3.3,0.0,0.0,0.0,,36.0
28,2024-02-01,13:33:00,Thursday,ST GEORGE BD STATION,MUI,6.0,10.0,E,BD,5181.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,3.3,,,0.0,,37.0
29,2024-02-02,22:14:00,Friday,LAWRENCE STATION,MUI,17.0,23.0,S,YU,5836.0,43.72541,-79.40225,Injured or ill Customer (On Train) - Transported,0,0.1,0.0,0.0,0.0,,40.0
30,2024-02-02,23:35:00,Friday,BROADVIEW STATION,MUI,17.0,22.0,E,BD,5254.0,43.67674,-79.35868,Injured or ill Customer (On Train) - Transported,0,0.1,0.0,0.0,0.0,,40.0
31,2024-02-05,08:18:00,Monday,LANSDOWNE STATION,MUI,6.0,8.0,E,BD,5211.0,43.6641,-79.44263,Injured or ill Customer (On Train) - Transported,1,0.2,0.0,0.0,0.0,,
32,2024-02-05,15:47:00,Monday,SPADINA YUS STATION,MUI,12.0,15.0,N,YU,5743.0,43.6683,-79.4033,Injured or ill Customer (On Train) - Transported,1,0.2,0.0,0.0,0.0,,
33,2024-02-05,17:39:00,Monday,ST GEORGE YUS STATION,MUI,6.0,9.0,S,YU,5961.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,1,0.2,0.0,0.0,0.0,,
34,2024-02-06,18:27:00,Tuesday,VAUGHAN MC STATION,MUI,3.0,6.0,S,YU,6001.0,43.7942,-79.5322,Injured or ill Customer (On Train) - Transported,1,-0.4,0.0,0.0,0.0,,
35,2024-02-07,01:33:00,Wednesday,SHEPPARD WEST STATION,MUI,17.0,22.0,S,YU,5881.0,43.7497,-79.4629,Injured or ill Customer (On Train) - Transported,0,1.0,0.0,0.0,0.0,,
36,2024-02-09,17:48:00,Friday,WELLESLEY STATION,MUI,13.0,16.0,N,YU,5556.0,43.66536,-79.38353,Injured or ill Customer (On Train) - Transported,1,8.9,0.9,0.0,0.9,,61.0
37,2024-02-09,20:12:00,Friday,LANSDOWNE STATION,MUI,20.0,25.0,W,BD,5180.0,43.6641,-79.44263,Injured or ill Customer (On Train) - Transported,0,8.9,0.9,0.0,0.9,,61.0
38,2024-02-10,14:45:00,Saturday,WOODBINE STATION,MUI,20.0,24.0,E,BD,5025.0,43.68584,-79.31512,Injured or ill Customer (On Train) - Transported,0,6.2,0.0,0.0,0.0,,42.0
39,2024-02-11,11:52:00,Sunday,KEELE STATION,MUI,15.0,19.0,E,BD,5207.0,43.65521,-79.45968,Injured or ill Customer (On Train) - Transported,0,1.7,0.0,0.0,0.0,,39.0
40,2024-02-12,09:04:00,Monday,QUEEN'S PARK STATION,MUI,12.0,15.0,S,YU,5586.0,43.65977,-79.39018,Injured or ill Customer (On Train) - Transported,1,1.2,0.0,0.0,0.0,,
41,2024-02-15,18:16:00,Thursday,KIPLING STATION,MUI,3.0,6.0,E,BD,5154.0,43.63795,-79.53535,Injured or ill Customer (On Train) - Transported,1,-2.8,0.4,6.4,6.6,1.0,72.0
42,2024-02-16,09:56:00,Friday,BROADVIEW STATION,MUI,16.0,20.0,E,BD,5137.0,43.67674,-79.35868,Injured or ill Customer (On Train) - Transported,1,-2.8,0.0,0.0,0.0,7.0,62.0
43,2024-02-16,13:37:00,Friday,DOWNSVIEW PARK STATION,MUI,7.0,12.0,N,YU,5991.0,43.7545,-79.477,Injured or ill Customer (On Train) - Transported,0,-2.8,0.0,0.0,0.0,7.0,62.0
44,2024-02-17,14:14:00,Saturday,WELLESLEY STATION,MUI,24.0,28.0,N,YU,5841.0,43.66536,-79.38353,Injured or ill Customer (On Train) - Transported,0,-6.4,0.0,0.2,0.2,5.0,49.0
45,2024-02-17,18:18:00,Saturday,UNION STATION,MUI,14.0,18.0,N,YU,5556.0,43.64533,-79.38069,Injured or ill Customer (On Train) - Transported,1,-6.4,0.0,0.2,0.2,5.0,49.0
46,2024-02-17,22:00:00,Saturday,FINCH STATION,MUI,5.0,10.0,S,YU,5516.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,0,-6.4,0.0,0.2,0.2,5.0,49.0
47,2024-02-20,12:48:00,Tuesday,MAIN STREET STATION,MUI,24.0,28.0,E,BD,5219.0,43.68811,-79.30156,Injured or ill Customer (On Train) - Transported,0,-2.7,0.0,0.0,0.0,,
48,2024-02-22,23:31:00,Thursday,YONGE BD STATION,MUI,7.0,12.0,W,BD,5188.0,43.6704,-79.3867,Injured or ill Customer (On Train) - Transported,0,5.7,0.0,0.0,0.0,,
49,2024-02-23,14:57:00,Friday,ISLINGTON STATION,MUI,11.0,15.0,W,BD,5064.0,43.64547,-79.52449,Injured or ill Customer (On Train) - Transported,0,1.3,0.0,0.0,0.0,,52.0
50,2024-02-24,08:07:00,Saturday,WELLESLEY STATION,MUI,15.0,21.0,N,YU,5436.0,43.66536,-79.38353,Injured or ill Customer (On Train) - Transported,1,-8.5,0.0,0.0,0.0,,42.0
51,2024-02-25,15:45:00,Sunday,FINCH STATION,MUI,4.0,8.0,S,YU,5836.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,1,-0.6,0.0,0.0,0.0,,46.0
52,2024-02-26,07:50:00,Monday,LAWRENCE STATION,MUI,4.0,7.0,S,YU,5381.0,43.72541,-79.40225,Injured or ill Customer (On Train) - Transported,1,3.8,0.0,0.0,0.0,,
53,2024-02-29,23:29:00,Thursday,WELLESLEY STATION,MUI,11.0,16.0,S,YU,6091.0,43.66536,-79.38353,Injured or ill Customer (On Train) - Transported,0,-4.7,0.0,0.0,0.0,0.0,59.0
54,2024-03-01,13:21:00,Friday,FINCH STATION,MUI,4.0,8.0,S,YU,6091.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,0,2.5,0.0,0.0,0.0,,39.0
55,2024-03-02,20:14:00,Saturday,KENNEDY BD STATION,MUI,4.0,8.0,W,BD,5163.0,43.73228,-79.26554,Injured or ill Customer (On Train) - Transported,0,5.5,0.0,0.0,0.0,0.0,
56,2024-03-03,22:09:00,Sunday,BLOOR STATION,MUI,13.0,19.0,S,YU,6086.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,0,6.6,0.0,0.0,0.0,,
57,2024-03-06,15:41:00,Wednesday,ROSEDALE STATION,MUI,18.0,23.0,N,YU,5956.0,43.6784,-79.39,Injured or ill Customer (On Train) - Transported,1,5.6,0.0,0.0,0.0,,40.0
58,2024-03-07,16:49:00,Thursday,BAYVIEW STATION,MUI,6.0,13.0,E,SHP,6141.0,43.76965,-79.38716,Injured or ill Customer (On Train) - Transported,1,5.7,0.0,0.0,0.0,,31.0
59,2024-03-07,22:03:00,Thursday,DON MILLS STATION,MUI,7.0,14.0,W,SHP,6166.0,43.77556,-79.34655,Injured or ill Customer (On Train) - Transported,0,5.7,0.0,0.0,0.0,,31.0
60,2024-03-08,15:27:00,Friday,YORK MILLS STATION,MUI,14.0,19.0,S,YU,5466.0,43.74462,-79.40684,Injured or ill Customer (On Train) - Transported,0,5.6,1.0,0.0,1.0,,33.0
61,2024-03-11,19:52:00,Monday,DUPONT STATION,MUI,7.0,11.0,S,YU,5576.0,43.67411,-79.40634,Injured or ill Customer (On Train) - Transported,0,3.5,0.0,0.0,0.0,,59.0
62,2024-03-11,22:34:00,Monday,ST CLAIR STATION,MUI,13.0,18.0,S,YU,5636.0,43.68806,-79.39361,Injured or ill Customer (On Train) - Transported,0,3.5,0.0,0.0,0.0,,59.0
63,2024-03-12,20:02:00,Tuesday,ISLINGTON STATION,MUI,11.0,16.0,E,BD,5333.0,43.64547,-79.52449,Injured or ill Customer (On Train) - Transported,0,6.3,0.0,0.0,0.0,,
64,2024-03-14,15:14:00,Thursday,OSSINGTON STATION,MUI,9.0,13.0,W,BD,5017.0,43.66243,-79.42694,Injured or ill Customer (On Train) - Transported,0,6.9,19.8,0.0,19.8,,33.0
65,2024-03-14,20:37:00,Thursday,ST GEORGE YUS STATION,MUI,7.0,12.0,N,YU,5746.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,6.9,19.8,0.0,19.8,,33.0
66,2024-03-14,19:23:00,Thursday,SHEPPARD-YONGE STATION,MUI,8.0,15.0,E,SHP,6161.0,43.76168,-79.41003,Injured or ill Customer (On Train) - Transported,0,6.9,19.8,0.0,19.8,,33.0
67,2024-03-15,15:59:00,Friday,ROSEDALE STATION,MUI,9.0,14.0,S,YU,5826.0,43.6784,-79.39,Injured or ill Customer (On Train) - Transported,1,6.2,0.0,0.0,0.0,,37.0
68,2024-03-16,12:53:00,Saturday,BLOOR STATION,MUI,9.0,13.0,N,YU,5583.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,0,4.4,2.0,0.0,2.0,,75.0
69,2024-03-17,10:37:00,Sunday,ST CLAIR WEST STATION,MUI,7.0,11.0,S,YU,6031.0,43.68403,-79.41553,Injured or ill Customer (On Train) - Transported,0,2.3,0.0,2.4,2.4,,60.0
70,2024-03-18,20:11:00,Monday,SHEPPARD STATION,MUI,7.0,12.0,S,YU,5431.0,43.74983,-79.38629,Injured or ill Customer (On Train) - Transported,0,0.1,0.0,0.4,0.4,,50.0
71,2024-03-20,15:21:00,Wednesday,COLLEGE STATION,MUI,22.0,27.0,N,YU,5861.0,43.66139,-79.38347,Injured or ill Customer (On Train) - Transported,0,-2.2,0.0,1.4,1.4,2.0,74.0
72,2024-03-20,21:14:00,Wednesday,BAY STATION,MUI,16.0,21.0,E,BD,5195.0,43.67042,-79.38935,Injured or ill Customer (On Train) - Transported,0,-2.2,0.0,1.4,1.4,2.0,74.0
73,2024-03-21,07:56:00,Thursday,ST GEORGE BD STATION,MUI,17.0,20.0,E,BD,5043.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,1,-4.7,0.0,0.0,0.0,0.0,53.0
74,2024-03-22,00:51:00,Friday,ST GEORGE YUS STATION,MUI,12.0,17.0,N,YU,5941.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,-5.8,0.0,11.6,9.0,1.0,31.0
75,2024-03-23,15:21:00,Saturday,BROADVIEW STATION,MUI,6.0,10.0,W,BD,5292.0,43.67674,-79.35868,Injured or ill Customer (On Train) - Transported,0,-2.9,0.0,0.0,0.0,11.0,51.0
76,2024-03-23,16:25:00,Saturday,SHERBOURNE STATION,MUI,10.0,14.0,W,BD,5227.0,43.67212,-79.37644,Injured or ill Customer (On Train) - Transported,1,-2.9,0.0,0.0,0.0,11.0,51.0
77,2024-03-24,10:44:00,Sunday,BATHURST STATION,MUI,5.0,10.0,W,BD,5201.0,43.66638,-79.41164,Injured or ill Customer (On Train) - Transported,0,-3.6,0.0,0.0,0.0,2.0,36.0
78,2024-03-24,13:55:00,Sunday,BROADVIEW STATION,MUI,7.0,11.0,E,BD,5293.0,43.67674,-79.35868,Injured or ill Customer (On Train) - Transported,0,-3.6,0.0,0.0,0.0,2.0,36.0
79,2024-03-25,09:09:00,Monday,HIGH PARK STATION,MUI,14.0,17.0,E,BD,5055.0,43.65306,-79.46629,Injured or ill Customer (On Train) - Transported,1,4.4,0.0,0.0,0.0,,39.0
80,2024-03-26,08:23:00,Tuesday,ST GEORGE YUS STATION,MUI,4.0,7.0,S,YU,5826.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,1,7.6,5.1,0.0,5.1,,40.0
81,2024-03-26,11:35:00,Tuesday,ST CLAIR WEST STATION,MUI,3.0,8.0,S,YU,5736.0,43.68403,-79.41553,Injured or ill Customer (On Train) - Transported,0,7.6,5.1,0.0,5.1,,40.0
82,2024-03-26,19:46:00,Tuesday,ST GEORGE BD STATION,MUI,4.0,9.0,E,BD,5026.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,7.6,5.1,0.0,5.1,,40.0
83,2024-03-28,19:56:00,Thursday,BATHURST STATION,MUI,7.0,12.0,W,BD,5364.0,43.66638,-79.41164,Injured or ill Customer (On Train) - Transported,0,4.4,0.0,0.0,0.0,,40.0
84,2024-03-29,14:25:00,Friday,COXWELL STATION,MUI,15.0,19.0,W,BD,5297.0,43.68456,-79.32305,Injured or ill Customer (On Train) - Transported,0,2.4,0.0,0.0,0.0,,49.0
85,2024-04-01,17:57:00,Monday,FINCH STATION,MUI,3.0,6.0,S,YU,5711.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,1,6.5,0.0,0.0,0.0,,41.0
86,2024-04-01,22:41:00,Monday,SHEPPARD WEST STATION,MUI,22.0,27.0,N,YU,5851.0,43.7497,-79.4629,Injured or ill Customer (On Train) - Transported,0,6.5,0.0,0.0,0.0,,41.0
87,2024-04-03,18:21:00,Wednesday,SPADINA YUS STATION,MUI,12.0,15.0,N,YU,5481.0,43.6683,-79.4033,Injured or ill Customer (On Train) - Transported,1,3.8,32.0,0.0,32.0,,62.0
88,2024-04-04,14:54:00,Thursday,ST CLAIR WEST STATION,MUI,14.0,19.0,N,YU,5866.0,43.68403,-79.41553,Injured or ill Customer (On Train) - Transported,0,1.8,1.2,0.0,1.2,,44.0
89,2024-04-04,18:36:00,Thursday,KENNEDY BD STATION,MUI,5.0,10.0,W,BD,5310.0,43.73228,-79.26554,Injured or ill Customer (On Train) - Transported,1,1.8,1.2,0.0,1.2,,44.0
90,2024-04-05,08:22:00,Friday,DUFFERIN STATION,MUI,9.0,12.0,E,BD,5310.0,43.6626,-79.43572,Injured or ill Customer (On Train) - Transported,1,3.2,0.0,0.2,0.2,0.0,51.0
91,2024-04-05,09:33:00,Friday,CHRISTIE STATION,MUI,7.0,11.0,W,BD,5199.0,43.66412,-79.4186,Injured or ill Customer (On Train) - Transported,1,3.2,0.0,0.2,0.2,0.0,51.0
92,2024-04-05,00:36:00,Friday,LAWRENCE WEST STATION,MUI,8.0,13.0,N,YU,5741.0,43.7136,-79.4444,Injured or ill Customer (On Train) - Transported,0,3.2,0.0,0.2,0.2,0.0,51.0
93,2024-04-06,23:26:00,Saturday,FINCH WEST STATION,MUI,6.0,12.0,N,YU,5411.0,43.7699,-79.4872,Injured or ill Customer (On Train) - Transported,0,8.1,0.0,0.0,0.0,,51.0
94,2024-04-07,16:21:00,Sunday,VICTORIA PARK STATION,MUI,16.0,21.0,W,BD,5062.0,43.69455,-79.28939,Injured or ill Customer (On Train) - Transported,1,8.8,0.0,0.0,0.0,,
95,2024-04-07,01:59:00,Sunday,SPADINA YUS STATION,MUI,11.0,17.0,N,YU,6006.0,43.6683,-79.4033,Injured or ill Customer (On Train) - Transported,0,8.8,0.0,0.0,0.0,,
96,2024-04-09,07:46:00,Tuesday,BATHURST STATION,MUI,6.0,8.0,E,BD,5342.0,43.66638,-79.41164,Injured or ill Customer (On Train) - Transported,1,11.6,0.0,0.0,0.0,,42.0
97,2024-04-09,07:52:00,Tuesday,LAWRENCE STATION,MUI,15.0,18.0,S,YU,5821.0,43.72541,-79.40225,Injured or ill Customer (On Train) - Transported,1,11.6,0.0,0.0,0.0,,42.0
98,2024-04-09,15:14:00,Tuesday,SPADINA YUS STATION,MUI,10.0,13.0,N,YU,5936.0,43.6683,-79.4033,Injured or ill Customer (On Train) - Transported,0,11.6,0.0,0.0,0.0,,42.0
99,2024-04-09,18:13:00,Tuesday,ST GEORGE YUS STATION,MUI,7.0,10.0,N,YU,5426.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,1,11.6,0.0,0.0,0.0,,42.0
100,2024-04-10,08:08:00,Wednesday,ST PATRICK STATION,MUI,6.0,9.0,S,YU,6041.0,43.6544,-79.3886,Injured or ill Customer (On Train) - Transported,1,13.6,0.0,0.0,0.0,,35.0
101,2024-04-10,17:09:00,Wednesday,SHEPPARD STATION,MUI,21.0,24.0,S,YU,6121.0,43.74983,-79.38629,Injured or ill Customer (On Train) - Transported,1,13.6,0.0,0.0,0.0,,35.0
102,2024-04-12,22:57:00,Friday,SPADINA BD STATION,MUI,8.0,13.0,W,BD,5094.0,43.6671,-79.4032,Injured or ill Customer (On Train) - Transported,0,8.6,13.2,0.0,13.2,,67.0
103,2024-04-14,15:59:00,Sunday,SHEPPARD STATION,MUI,4.0,8.0,N,YU,5886.0,43.74983,-79.38629,Injured or ill Customer (On Train) - Transported,1,11.2,6.4,0.0,6.4,,44.0
104,2024-04-14,21:37:00,Sunday,KIPLING STATION,MUI,5.0,10.0,E,BD,5091.0,43.63795,-79.53535,Injured or ill Customer (On Train) - Transported,0,11.2,6.4,0.0,6.4,,44.0
105,2024-04-15,15:21:00,Monday,ST CLAIR WEST STATION,MUI,34.0,38.0,S,YU,5661.0,43.68403,-79.41553,Injured or ill Customer (On Train) - Transported,0,10.5,0.0,0.0,0.0,,61.0
106,2024-04-15,20:24:00,Monday,BAYVIEW STATION,MUI,22.0,29.0,E,SHP,6156.0,43.76965,-79.38716,Injured or ill Customer (On Train) - Transported,0,10.5,0.0,0.0,0.0,,61.0
107,2024-04-16,16:00:00,Tuesday,BLOOR STATION,MUI,5.0,9.0,N,YU,6111.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,1,11.3,0.0,0.0,0.0,,
108,2024-04-17,11:47:00,Wednesday,HIGHWAY 407 STATION,MUI,12.0,17.0,S,YU,5946.0,43.7942,-79.5322,Injured or ill Customer (On Train) - Transported,0,6.9,12.7,0.0,12.7,,61.0
109,2024-04-17,16:01:00,Wednesday,DUNDAS STATION,MUI,22.0,27.0,S,YU,5441.0,43.65651,-79.38062,Injured or ill Customer (On Train) - Transported,1,6.9,12.7,0.0,12.7,,61.0
110,2024-04-17,18:35:00,Wednesday,BLOOR STATION,MUI,30.0,35.0,N,YU,5496.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,1,6.9,12.7,0.0,12.7,,61.0
111,2024-04-18,16:39:00,Thursday,SHEPPARD WEST STATION,MUI,12.0,17.0,N,YU,5471.0,43.7497,-79.4629,Injured or ill Customer (On Train) - Transported,1,10.5,0.0,0.0,0.0,,46.0
112,2024-04-20,09:02:00,Saturday,FINCH WEST STATION,MUI,14.0,20.0,S,YU,5976.0,43.7699,-79.4872,Injured or ill Customer (On Train) - Transported,1,5.6,0.0,0.0,0.0,,56.0
113,2024-04-20,15:18:00,Saturday,ST CLAIR WEST STATION,MUI,29.0,33.0,N,YU,6126.0,43.68403,-79.41553,Injured or ill Customer (On Train) - Transported,0,5.6,0.0,0.0,0.0,,56.0
114,2024-04-20,17:18:00,Saturday,HIGHWAY 407 STATION,MUI,11.0,15.0,S,YU,5781.0,43.7942,-79.5322,Injured or ill Customer (On Train) - Transported,1,5.6,0.0,0.0,0.0,,56.0
115,2024-04-20,20:17:00,Saturday,DUNDAS STATION,MUI,20.0,24.0,S,YU,5471.0,43.65651,-79.38062,Injured or ill Customer (On Train) - Transported,0,5.6,0.0,0.0,0.0,,56.0
116,2024-04-21,22:50:00,Sunday,ROYAL YORK STATION,MUI,20.0,25.0,W,BD,5006.0,43.64816,-79.51134,Injured or ill Customer (On Train) - Transported,0,5.8,0.0,0.0,0.0,,53.0
117,2024-04-21,23:41:00,Sunday,WILSON STATION,MUI,9.0,15.0,S,YU,5536.0,43.7345,-79.4501,Injured or ill Customer (On Train) - Transported,0,5.8,0.0,0.0,0.0,,53.0
118,2024-04-22,15:58:00,Monday,FINCH STATION,MUI,5.0,10.0,S,YU,5926.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,1,6.5,0.0,0.0,0.0,,36.0
119,2024-04-22,23:21:00,Monday,MUSEUM STATION,MUI,12.0,17.0,S,YU,6041.0,43.66771,-79.39332,Injured or ill Customer (On Train) - Transported,0,6.5,0.0,0.0,0.0,,36.0
120,2024-04-22,23:31:00,Monday,KEELE STATION,MUI,8.0,13.0,E,BD,5071.0,43.65521,-79.45968,Injured or ill Customer (On Train) - Transported,0,6.5,0.0,0.0,0.0,,36.0
121,2024-04-23,06:52:00,Tuesday,ST CLAIR STATION,MUI,12.0,15.0,N,YU,6091.0,43.68806,-79.39361,Injured or ill Customer (On Train) - Transported,1,12.4,0.4,0.0,0.4,,70.0
122,2024-04-23,16:18:00,Tuesday,KING STATION,MUI,13.0,16.0,S,YU,5916.0,43.64981,-79.37734,Injured or ill Customer (On Train) - Transported,1,12.4,0.4,0.0,0.4,,70.0
123,2024-04-26,17:10:00,Friday,ST CLAIR STATION,MUI,6.0,9.0,S,YU,5886.0,43.68806,-79.39361,Injured or ill Customer (On Train) - Transported,1,6.1,0.0,0.0,0.0,,42.0
124,2024-04-27,12:09:00,Saturday,JANE STATION,MUI,17.0,22.0,W,BD,5231.0,43.6498,-79.48393,Injured or ill Customer (On Train) - Transported,0,10.6,6.4,0.0,6.4,,
125,2024-04-29,07:57:00,Monday,OSGOODE STATION,MUI,3.0,6.0,S,YU,5571.0,43.65054,-79.38684,Injured or ill Customer (On Train) - Transported,1,10.8,12.5,0.0,12.5,,48.0
126,2024-04-29,08:53:00,Monday,ROSEDALE STATION,MUI,5.0,8.0,S,YU,6061.0,43.6784,-79.39,Injured or ill Customer (On Train) - Transported,1,10.8,12.5,0.0,12.5,,48.0
127,2024-04-29,12:44:00,Monday,WILSON STATION,MUI,7.0,12.0,S,YU,5786.0,43.7345,-79.4501,Injured or ill Customer (On Train) - Transported,0,10.8,12.5,0.0,12.5,,48.0
128,2024-04-30,00:40:00,Tuesday,WELLESLEY STATION,MUI,12.0,18.0,N,YU,5991.0,43.66536,-79.38353,Injured or ill Customer (On Train) - Transported,0,12.3,3.2,0.0,3.2,,
129,2024-05-01,07:19:00,Wednesday,SUMMERHILL STATION,MUI,10.0,13.0,S,YU,5436.0,43.682,-79.3903,Injured or ill Customer (On Train) - Transported,1,11.8,0.0,0.0,0.0,,38.0
